Level Reached,Score,Total Time (s),Enemy Kills,Boss Kills,Difficulty
1,500,25,3,0,1.0
2,900,50,5,0,1.2
3,1500,70,8,1,1.51,100,19,1,0,1.0
1,100,19,1,0,1.0
1,100,19,1,0,1.0
1,100,19,1,0,1.0
1,100,19,1,0,1.0
1,100,19,1,0,1.0
1,100,19,1,0,1.0
1,100,19,1,0,1.0
1,100,19,1,0,1.0
1,100,19,1,0,1.0
1,100,19,1,0,1.0
1,100,19,1,0,1.0
1,100,19,1,0,1.0
1,100,19,1,0,1.0
1,100,19,1,0,1.0
1,100,19,1,0,1.0
1,100,19,1,0,1.0
1,100,19,1,0,1.0
1,100,19,1,0,1.0
1,100,19,1,0,1.0
1,100,19,1,0,1.0
1,100,19,1,0,1.0
1,100,19,1,0,1.0
1,100,19,1,0,1.0
1,100,19,1,0,1.0
1,100,19,1,0,1.0
1,100,19,1,0,1.0
1,100,19,1,0,1.0
1,100,19,1,0,1.0
1,100,19,1,0,1.0
1,100,19,1,0,1.0
1,100,19,1,0,1.0
1,100,19,1,0,1.0
1,100,20,1,0,1.0
1,100,20,1,0,1.0
1,100,20,1,0,1.0
1,100,20,1,0,1.0
1,100,20,1,0,1.0
1,100,20,1,0,1.0
1,100,20,1,0,1.0
1,100,20,1,0,1.0
1,100,20,1,0,1.0
1,100,20,1,0,1.0
1,100,20,1,0,1.0
1,100,20,1,0,1.0
1,100,20,1,0,1.0
1,100,20,1,0,1.0
1,100,20,1,0,1.0
1,100,20,1,0,1.0
1,100,20,1,0,1.0
1,100,20,1,0,1.0
1,100,20,1,0,1.0
1,100,20,1,0,1.0
1,100,20,1,0,1.0
1,100,20,1,0,1.0
1,100,20,1,0,1.0
1,100,20,1,0,1.0
1,100,20,1,0,1.0
1,100,20,1,0,1.0
1,100,20,1,0,1.0
1,100,20,1,0,1.0
1,100,20,1,0,1.0
1,100,20,1,0,1.0
1,100,20,1,0,1.0
1,100,20,1,0,1.0
1,100,20,1,0,1.0
1,100,20,1,0,1.0
1,100,20,1,0,1.0
1,100,20,1,0,1.0
1,100,20,1,0,1.0
1,100,20,1,0,1.0
1,100,20,1,0,1.0
1,100,20,1,0,1.0
1,100,20,1,0,1.0
1,100,20,1,0,1.0
1,100,20,1,0,1.0
1,100,20,1,0,1.0
1,100,20,1,0,1.0
1,100,20,1,0,1.0
1,100,20,1,0,1.0
1,100,20,1,0,1.0
1,100,20,1,0,1.0
1,100,20,1,0,1.0
1,100,20,1,0,1.0
1,100,20,1,0,1.0
1,100,20,1,0,1.0
1,100,20,1,0,1.0
1,100,20,1,0,1.0
1,100,20,1,0,1.0
1,100,20,1,0,1.0
1,100,20,1,0,1.0
1,100,20,1,0,1.0
1,100,20,1,0,1.0
1,100,20,1,0,1.0
1,100,21,1,0,1.0
1,100,21,1,0,1.0
1,100,21,1,0,1.0
1,100,21,1,0,1.0
1,100,21,1,0,1.0
1,100,21,1,0,1.0
1,100,21,1,0,1.0
1,100,21,1,0,1.0
1,100,21,1,0,1.0
1,100,21,1,0,1.0
1,100,21,1,0,1.0
1,100,21,1,0,1.0
1,100,21,1,0,1.0
1,100,21,1,0,1.0
1,100,21,1,0,1.0
1,100,21,1,0,1.0
1,100,21,1,0,1.0
1,100,21,1,0,1.0
1,100,21,1,0,1.0
1,100,21,1,0,1.0
1,100,21,1,0,1.0
1,100,21,1,0,1.0
1,100,21,1,0,1.0
1,100,21,1,0,1.0
1,100,21,1,0,1.0
1,100,21,1,0,1.0
1,100,21,1,0,1.0
1,100,21,1,0,1.0
1,100,21,1,0,1.0
1,100,21,1,0,1.0
1,100,21,1,0,1.0
1,100,21,1,0,1.0
1,100,21,1,0,1.0
1,100,21,1,0,1.0
1,100,21,1,0,1.0
1,100,21,1,0,1.0
1,100,21,1,0,1.0
1,100,21,1,0,1.0
1,100,21,1,0,1.0
1,100,21,1,0,1.0
1,100,21,1,0,1.0
1,100,21,1,0,1.0
1,100,21,1,0,1.0
1,100,21,1,0,1.0
1,100,21,1,0,1.0
1,100,21,1,0,1.0
1,100,21,1,0,1.0
1,100,21,1,0,1.0
1,100,21,1,0,1.0
1,100,21,1,0,1.0
